Name,URI,Region GSS code,Period,Sales volume,Reporting period,House price index All property types,Pivotable date
Bradford,http://landregistry.data.gov.uk/id/region/bradford,E08000032,2014-11,604,monthly,98.6,01-11-14
Calderdale,http://landregistry.data.gov.uk/id/region/calderdale,E08000033,2014-11,310,monthly,98.76,01-11-14
Leeds,http://landregistry.data.gov.uk/id/region/leeds,E08000035,2014-11,993,monthly,100.37,01-11-14
West Yorkshire,http://landregistry.data.gov.uk/id/region/west-yorkshire,E11000006,2014-11,2757,monthly,99.99,01-11-14
Bradford,http://landregistry.data.gov.uk/id/region/bradford,E08000032,2014-12,581,monthly,100.31,01-12-14
Calderdale,http://landregistry.data.gov.uk/id/region/calderdale,E08000033,2014-12,343,monthly,99.34,01-12-14
Leeds,http://landregistry.data.gov.uk/id/region/leeds,E08000035,2014-12,974,monthly,100.27,01-12-14
West Yorkshire,http://landregistry.data.gov.uk/id/region/west-yorkshire,E11000006,2014-12,2770,monthly,100.54,01-12-14
Bradford,http://landregistry.data.gov.uk/id/region/bradford,E08000032,2015-01,392,monthly,100,01-01-15
Calderdale,http://landregistry.data.gov.uk/id/region/calderdale,E08000033,2015-01,189,monthly,100,01-01-15
Leeds,http://landregistry.data.gov.uk/id/region/leeds,E08000035,2015-01,760,monthly,100,01-01-15
West Yorkshire,http://landregistry.data.gov.uk/id/region/west-yorkshire,E11000006,2015-01,1931,monthly,100,01-01-15
Bradford,http://landregistry.data.gov.uk/id/region/bradford,E08000032,2015-02,427,monthly,99.28,01-02-15
Calderdale,http://landregistry.data.gov.uk/id/region/calderdale,E08000033,2015-02,217,monthly,99.21,01-02-15
Leeds,http://landregistry.data.gov.uk/id/region/leeds,E08000035,2015-02,837,monthly,99.91,01-02-15
West Yorkshire,http://landregistry.data.gov.uk/id/region/west-yorkshire,E11000006,2015-02,2159,monthly,99.56,01-02-15
Bradford,http://landregistry.data.gov.uk/id/region/bradford,E08000032,2015-03,594,monthly,97.46,01-03-15
Calderdale,http://landregistry.data.gov.uk/id/region/calderdale,E08000033,2015-03,225,monthly,97.59,01-03-15
Leeds,http://landregistry.data.gov.uk/id/region/leeds,E08000035,2015-03,898,monthly,99.39,01-03-15
West Yorkshire,http://landregistry.data.gov.uk/id/region/west-yorkshire,E11000006,2015-03,2586,monthly,98.79,01-03-15
Bradford,http://landregistry.data.gov.uk/id/region/bradford,E08000032,2015-04,555,monthly,97.92,01-04-15
Calderdale,http://landregistry.data.gov.uk/id/region/calderdale,E08000033,2015-04,244,monthly,96.25,01-04-15
Leeds,http://landregistry.data.gov.uk/id/region/leeds,E08000035,2015-04,879,monthly,99.85,01-04-15
West Yorkshire,http://landregistry.data.gov.uk/id/region/west-yorkshire,E11000006,2015-04,2446,monthly,99.46,01-04-15
Bradford,http://landregistry.data.gov.uk/id/region/bradford,E08000032,2015-05,640,monthly,99.79,01-05-15
Calderdale,http://landregistry.data.gov.uk/id/region/calderdale,E08000033,2015-05,302,monthly,98.63,01-05-15
Leeds,http://landregistry.data.gov.uk/id/region/leeds,E08000035,2015-05,1001,monthly,101.22,01-05-15
West Yorkshire,http://landregistry.data.gov.uk/id/region/west-yorkshire,E11000006,2015-05,2874,monthly,100.98,01-05-15
Bradford,http://landregistry.data.gov.uk/id/region/bradford,E08000032,2015-06,657,monthly,102.89,01-06-15
Calderdale,http://landregistry.data.gov.uk/id/region/calderdale,E08000033,2015-06,273,monthly,101.15,01-06-15
Leeds,http://landregistry.data.gov.uk/id/region/leeds,E08000035,2015-06,1183,monthly,102.35,01-06-15
West Yorkshire,http://landregistry.data.gov.uk/id/region/west-yorkshire,E11000006,2015-06,3089,monthly,102.56,01-06-15
Bradford,http://landregistry.data.gov.uk/id/region/bradford,E08000032,2015-07,688,monthly,105.49,01-07-15
Calderdale,http://landregistry.data.gov.uk/id/region/calderdale,E08000033,2015-07,337,monthly,103.53,01-07-15
Leeds,http://landregistry.data.gov.uk/id/region/leeds,E08000035,2015-07,1222,monthly,103.69,01-07-15
West Yorkshire,http://landregistry.data.gov.uk/id/region/west-yorkshire,E11000006,2015-07,3377,monthly,104.14,01-07-15
Bradford,http://landregistry.data.gov.uk/id/region/bradford,E08000032,2015-08,575,monthly,106.56,01-08-15
